STATION,STATION_NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHCND:FRM00007149,ORLY FR,20160101,0.00,43,47,39
GHCND:FRM00007149,ORLY FR,20160102,0.00,48,-9999,44
GHCND:FRM00007149,ORLY FR,20160103,0.39,45,48,42
GHCND:FRM00007149,ORLY FR,20160104,0.04,44,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160105,0.00,44,48,-9999
GHCND:FRM00007149,ORLY FR,20160106,0.03,46,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160107,0.03,46,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160108,0.19,41,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160109,0.00,46,-9999,37
GHCND:FRM00007149,ORLY FR,20160110,0.13,42,50,-9999
GHCND:FRM00007149,ORLY FR,20160111,0.26,45,48,39
GHCND:FRM00007149,ORLY FR,20160112,0.03,43,47,40
GHCND:FRM00007149,ORLY FR,20160113,0.01,40,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160114,0.00,40,47,-9999
GHCND:FRM00007149,ORLY FR,20160115,0.09,37,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160116,0.00,33,-9999,27
GHCND:FRM00007149,ORLY FR,20160117,0.00,35,40,28
GHCND:FRM00007149,ORLY FR,20160118,0.00,30,36,28
GHCND:FRM00007149,ORLY FR,20160119,0.00,31,34,-9999
GHCND:FRM00007149,ORLY FR,20160120,0.00,26,32,-9999
GHCND:FRM00007149,ORLY FR,20160121,0.00,29,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160122,0.00,35,-9999,28
GHCND:FRM00007149,ORLY FR,20160123,0.12,43,45,-9999
GHCND:FRM00007149,ORLY FR,20160124,0.04,46,52,41
GHCND:FRM00007149,ORLY FR,20160125,0.00,47,56,-9999
GHCND:FRM00007149,ORLY FR,20160126,0.00,49,-9999,42
GHCND:FRM00007149,ORLY FR,20160127,0.00,51,54,49
GHCND:FRM00007149,ORLY FR,20160128,0.08,46,52,-9999
GHCND:FRM00007149,ORLY FR,20160129,0.00,43,49,34
GHCND:FRM00007149,ORLY FR,20160130,0.00,46,49,-9999
GHCND:FRM00007149,ORLY FR,20160131,0.39,50,-9999,43
GHCND:FRM00007149,ORLY FR,20160201,0.06,53,57,51
GHCND:FRM00007149,ORLY FR,20160202,0.00,50,54,-9999
GHCND:FRM00007149,ORLY FR,20160203,0.02,43,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160204,0.01,44,-9999,37
GHCND:FRM00007149,ORLY FR,20160205,0.01,49,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160206,0.00,51,58,44
GHCND:FRM00007149,ORLY FR,20160207,0.03,48,55,44
GHCND:FRM00007149,ORLY FR,20160208,0.03,49,-9999,43
GHCND:FRM00007149,ORLY FR,20160209,0.24,45,54,-9999
GHCND:FRM00007149,ORLY FR,20160210,0.31,41,47,35
GHCND:FRM00007149,ORLY FR,20160211,0.03,41,47,-9999
GHCND:FRM00007149,ORLY FR,20160212,0.01,38,41,35
GHCND:FRM00007149,ORLY FR,20160213,0.19,43,48,-9999
GHCND:FRM00007149,ORLY FR,20160214,0.55,42,47,-9999
GHCND:FRM00007149,ORLY FR,20160215,0.22,39,45,-9999
GHCND:FRM00007149,ORLY FR,20160216,0.00,36,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160217,0.00,30,40,21
GHCND:FRM00007149,ORLY FR,20160218,0.00,33,-9999,27
GHCND:FRM00007149,ORLY FR,20160219,0.02,39,49,29
GHCND:FRM00007149,ORLY FR,20160220,0.04,49,54,40
GHCND:FRM00007149,ORLY FR,20160221,0.02,52,-9999,50
GHCND:FRM00007149,ORLY FR,20160222,0.00,51,54,-9999
GHCND:FRM00007149,ORLY FR,20160223,0.17,43,51,-9999
GHCND:FRM00007149,ORLY FR,20160224,0.01,37,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160225,0.00,38,45,-9999
GHCND:FRM00007149,ORLY FR,20160226,0.00,35,44,26
GHCND:FRM00007149,ORLY FR,20160227,0.00,38,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160228,0.00,38,43,-9999
GHCND:FRM00007149,ORLY FR,20160229,0.00,38,-9999,32
GHCND:FRM00007149,ORLY FR,20160301,0.00,39,-9999,27
GHCND:FRM00007149,ORLY FR,20160302,0.10,45,52,34
GHCND:FRM00007149,ORLY FR,20160303,0.25,43,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160304,0.17,43,-9999,38
GHCND:FRM00007149,ORLY FR,20160305,0.41,38,46,-9999
GHCND:FRM00007149,ORLY FR,20160306,0.06,39,46,34
GHCND:FRM00007149,ORLY FR,20160307,0.00,38,43,33
GHCND:FRM00007149,ORLY FR,20160308,0.03,40,49,-9999
GHCND:FRM00007149,ORLY FR,20160309,0.00,42,49,39
GHCND:FRM00007149,ORLY FR,20160310,0.23,44,49,39
GHCND:FRM00007149,ORLY FR,20160311,0.00,45,-9999,39
GHCND:FRM00007149,ORLY FR,20160312,0.00,43,52,34
GHCND:FRM00007149,ORLY FR,20160313,0.00,43,-9999,34
GHCND:FRM00007149,ORLY FR,20160314,0.00,42,49,35
GHCND:FRM00007149,ORLY FR,20160315,0.00,44,54,33
GHCND:FRM00007149,ORLY FR,20160316,0.00,43,52,-9999
GHCND:FRM00007149,ORLY FR,20160317,0.00,44,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160318,0.00,42,-9999,33
GHCND:FRM00007149,ORLY FR,20160319,0.00,42,46,38
GHCND:FRM00007149,ORLY FR,20160320,0.00,42,-9999,40
GHCND:FRM00007149,ORLY FR,20160321,0.00,45,51,39
GHCND:FRM00007149,ORLY FR,20160322,0.00,47,-9999,39
GHCND:FRM00007149,ORLY FR,20160323,0.00,46,50,39
GHCND:FRM00007149,ORLY FR,20160324,0.00,47,-9999,42
GHCND:FRM00007149,ORLY FR,20160325,0.07,49,59,44
GHCND:FRM00007149,ORLY FR,20160326,0.07,52,59,42
GHCND:FRM00007149,ORLY FR,20160327,0.33,49,59,44
GHCND:FRM00007149,ORLY FR,20160328,0.07,51,59,-9999
GHCND:FRM00007149,ORLY FR,20160329,0.13,49,57,-9999
GHCND:FRM00007149,ORLY FR,20160330,0.18,47,53,-9999
GHCND:FRM00007149,ORLY FR,20160331,0.31,44,45,43
GHCND:FRM00007149,ORLY FR,20160401,1.04,45,54,-9999
GHCND:FRM00007149,ORLY FR,20160402,0.00,44,-9999,34
GHCND:FRM00007149,ORLY FR,20160403,-9999,58,69,49
GHCND:FRM00007149,ORLY FR,20160404,0.13,55,64,-9999
GHCND:FRM00007149,ORLY FR,20160405,0.00,53,62,-9999
GHCND:FRM00007149,ORLY FR,20160406,0.00,49,58,43
GHCND:FRM00007149,ORLY FR,20160407,0.02,45,-9999,40
GHCND:FRM00007149,ORLY FR,20160408,0.06,47,56,-9999
GHCND:FRM00007149,ORLY FR,20160409,0.02,46,57,36
GHCND:FRM00007149,ORLY FR,20160410,0.06,50,64,33
GHCND:FRM00007149,ORLY FR,20160411,0.00,52,61,-9999
GHCND:FRM00007149,ORLY FR,20160412,0.15,51,63,-9999
GHCND:FRM00007149,ORLY FR,20160413,0.06,55,63,49
GHCND:FRM00007149,ORLY FR,20160414,0.01,52,62,-9999
GHCND:FRM00007149,ORLY FR,20160415,0.20,54,62,48
GHCND:FRM00007149,ORLY FR,20160416,0.13,52,59,-9999
GHCND:FRM00007149,ORLY FR,20160417,0.01,44,53,-9999
GHCND:FRM00007149,ORLY FR,20160418,0.12,46,59,32
GHCND:FRM00007149,ORLY FR,20160419,0.00,50,-9999,36
GHCND:FRM00007149,ORLY FR,20160420,0.00,56,66,43
GHCND:FRM00007149,ORLY FR,20160421,0.00,60,72,51
GHCND:FRM00007149,ORLY FR,20160422,0.00,57,66,51
GHCND:FRM00007149,ORLY FR,20160423,0.06,48,58,-9999
GHCND:FRM00007149,ORLY FR,20160424,0.00,41,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160425,0.19,44,53,33
GHCND:FRM00007149,ORLY FR,20160426,0.13,42,49,-9999
GHCND:FRM00007149,ORLY FR,20160427,0.12,41,51,-9999
GHCND:FRM00007149,ORLY FR,20160428,0.06,44,56,29
GHCND:FRM00007149,ORLY FR,20160429,0.00,49,58,-9999
GHCND:FRM00007149,ORLY FR,20160430,0.07,46,52,42
GHCND:FRM00007149,ORLY FR,20160501,0.02,50,60,37
GHCND:FRM00007149,ORLY FR,20160502,0.00,53,66,35
GHCND:FRM00007149,ORLY FR,20160503,0.09,54,62,-9999
GHCND:FRM00007149,ORLY FR,20160504,0.00,54,-9999,40
GHCND:FRM00007149,ORLY FR,20160505,0.00,58,-9999,45
GHCND:FRM00007149,ORLY FR,20160506,0.00,62,-9999,45
GHCND:FRM00007149,ORLY FR,20160507,0.00,64,74,-9999
GHCND:FRM00007149,ORLY FR,20160508,0.00,67,76,54
GHCND:FRM00007149,ORLY FR,20160509,0.00,64,73,-9999
GHCND:FRM00007149,ORLY FR,20160510,0.16,60,64,-9999
GHCND:FRM00007149,ORLY FR,20160511,0.21,58,62,-9999
GHCND:FRM00007149,ORLY FR,20160512,0.16,60,-9999,53
GHCND:FRM00007149,ORLY FR,20160513,0.46,62,73,-9999
GHCND:FRM00007149,ORLY FR,20160514,0.02,51,68,-9999
GHCND:FRM00007149,ORLY FR,20160515,0.00,50,62,-9999
GHCND:FRM00007149,ORLY FR,20160516,0.00,54,64,-9999
GHCND:FRM00007149,ORLY FR,20160517,0.00,55,64,41
GHCND:FRM00007149,ORLY FR,20160518,0.00,56,63,-9999
GHCND:FRM00007149,ORLY FR,20160519,0.32,53,-9999,48
GHCND:FRM00007149,ORLY FR,20160520,0.03,60,69,50
GHCND:FRM00007149,ORLY FR,20160521,0.02,66,76,55
GHCND:FRM00007149,ORLY FR,20160522,0.41,58,72,-9999
GHCND:FRM00007149,ORLY FR,20160523,1.10,54,59,-9999
GHCND:FRM00007149,ORLY FR,20160524,0.32,53,58,-9999
GHCND:FRM00007149,ORLY FR,20160525,0.00,58,69,-9999
GHCND:FRM00007149,ORLY FR,20160526,0.00,62,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160527,0.15,67,76,-9999
GHCND:FRM00007149,ORLY FR,20160528,0.00,63,73,-9999
GHCND:FRM00007149,ORLY FR,20160529,0.25,61,67,59
GHCND:FRM00007149,ORLY FR,20160530,0.37,56,62,-9999
GHCND:FRM00007149,ORLY FR,20160531,1.67,56,58,-9999
GHCND:FRM00007149,ORLY FR,20160601,0.25,59,63,-9999
GHCND:FRM00007149,ORLY FR,20160602,0.50,55,60,-9999
GHCND:FRM00007149,ORLY FR,20160603,0.06,54,-9999,51
GHCND:FRM00007149,ORLY FR,20160604,0.00,59,65,55
GHCND:FRM00007149,ORLY FR,20160605,0.04,60,-9999,56
GHCND:FRM00007149,ORLY FR,20160606,0.00,65,-9999,55
GHCND:FRM00007149,ORLY FR,20160607,0.00,70,81,57
GHCND:FRM00007149,ORLY FR,20160608,0.00,67,75,-9999
GHCND:FRM00007149,ORLY FR,20160609,0.00,64,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160610,0.00,66,74,58
GHCND:FRM00007149,ORLY FR,20160611,0.00,63,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160612,0.11,62,67,57
GHCND:FRM00007149,ORLY FR,20160613,0.52,60,65,52
GHCND:FRM00007149,ORLY FR,20160614,0.00,60,67,-9999
GHCND:FRM00007149,ORLY FR,20160615,0.13,60,70,53
GHCND:FRM00007149,ORLY FR,20160616,0.03,58,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160617,1.07,60,72,53
GHCND:FRM00007149,ORLY FR,20160618,0.03,60,70,-9999
GHCND:FRM00007149,ORLY FR,20160619,0.15,62,72,55
GHCND:FRM00007149,ORLY FR,20160620,0.01,60,72,-9999
GHCND:FRM00007149,ORLY FR,20160621,0.46,66,74,61
GHCND:FRM00007149,ORLY FR,20160622,0.02,72,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160623,0.08,77,89,-9999
GHCND:FRM00007149,ORLY FR,20160624,0.00,70,86,-9999
GHCND:FRM00007149,ORLY FR,20160625,0.02,63,76,-9999
GHCND:FRM00007149,ORLY FR,20160626,0.00,61,72,52
GHCND:FRM00007149,ORLY FR,20160627,0.00,63,72,56
GHCND:FRM00007149,ORLY FR,20160628,0.04,65,73,56
GHCND:FRM00007149,ORLY FR,20160629,0.00,65,74,55
GHCND:FRM00007149,ORLY FR,20160630,0.00,65,74,60
GHCND:FRM00007149,ORLY FR,20160701,0.21,66,72,-9999
GHCND:FRM00007149,ORLY FR,20160702,0.01,61,70,55
GHCND:FRM00007149,ORLY FR,20160703,0.00,60,66,55
GHCND:FRM00007149,ORLY FR,20160704,0.03,65,73,59
GHCND:FRM00007149,ORLY FR,20160705,0.00,65,73,-9999
GHCND:FRM00007149,ORLY FR,20160706,0.00,64,77,-9999
GHCND:FRM00007149,ORLY FR,20160707,0.00,70,84,52
GHCND:FRM00007149,ORLY FR,20160708,0.01,72,-9999,57
GHCND:FRM00007149,ORLY FR,20160709,0.00,72,85,58
GHCND:FRM00007149,ORLY FR,20160710,0.00,76,-9999,62
GHCND:FRM00007149,ORLY FR,20160711,0.00,67,81,-9999
GHCND:FRM00007149,ORLY FR,20160712,0.00,62,74,54
GHCND:FRM00007149,ORLY FR,20160713,0.40,60,68,-9999
GHCND:FRM00007149,ORLY FR,20160714,0.01,60,71,-9999
GHCND:FRM00007149,ORLY FR,20160715,0.00,64,76,48
GHCND:FRM00007149,ORLY FR,20160716,0.00,69,80,57
GHCND:FRM00007149,ORLY FR,20160717,0.00,74,85,60
GHCND:FRM00007149,ORLY FR,20160718,0.00,77,88,62
GHCND:FRM00007149,ORLY FR,20160719,0.00,81,-9999,67
GHCND:FRM00007149,ORLY FR,20160720,0.00,77,92,70
GHCND:FRM00007149,ORLY FR,20160721,0.00,72,80,-9999
GHCND:FRM00007149,ORLY FR,20160722,0.00,72,-9999,62
GHCND:FRM00007149,ORLY FR,20160723,0.00,71,82,62
GHCND:FRM00007149,ORLY FR,20160724,0.00,72,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160725,0.00,74,81,-9999
GHCND:FRM00007149,ORLY FR,20160726,0.00,68,77,-9999
GHCND:FRM00007149,ORLY FR,20160727,0.00,67,79,55
GHCND:FRM00007149,ORLY FR,20160728,0.00,70,78,64
GHCND:FRM00007149,ORLY FR,20160729,0.01,70,78,-9999
GHCND:FRM00007149,ORLY FR,20160730,0.03,68,75,59
GHCND:FRM00007149,ORLY FR,20160731,0.00,68,79,-9999
GHCND:FRM00007149,ORLY FR,20160801,0.00,67,77,56
GHCND:FRM00007149,ORLY FR,20160802,0.05,66,-9999,60
GHCND:FRM00007149,ORLY FR,20160803,0.04,70,79,64
GHCND:FRM00007149,ORLY FR,20160804,0.02,65,72,-9999
GHCND:FRM00007149,ORLY FR,20160805,0.05,65,75,55
GHCND:FRM00007149,ORLY FR,20160806,0.00,66,78,51
GHCND:FRM00007149,ORLY FR,20160807,0.00,71,-9999,54
GHCND:FRM00007149,ORLY FR,20160808,0.00,67,83,62
GHCND:FRM00007149,ORLY FR,20160809,0.00,64,73,54
GHCND:FRM00007149,ORLY FR,20160810,0.00,59,69,47
GHCND:FRM00007149,ORLY FR,20160811,0.00,61,74,46
GHCND:FRM00007149,ORLY FR,20160812,0.00,68,81,55
GHCND:FRM00007149,ORLY FR,20160813,0.00,72,-9999,58
GHCND:FRM00007149,ORLY FR,20160814,0.00,71,83,-9999
GHCND:FRM00007149,ORLY FR,20160815,0.00,71,83,59
GHCND:FRM00007149,ORLY FR,20160816,0.00,73,86,-9999
GHCND:FRM00007149,ORLY FR,20160817,0.00,74,87,-9999
GHCND:FRM00007149,ORLY FR,20160818,0.28,68,82,64
GHCND:FRM00007149,ORLY FR,20160819,0.69,66,74,-9999
GHCND:FRM00007149,ORLY FR,20160820,0.02,66,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160821,0.01,63,72,-9999
GHCND:FRM00007149,ORLY FR,20160822,0.02,71,83,58
GHCND:FRM00007149,ORLY FR,20160823,0.00,76,90,61
GHCND:FRM00007149,ORLY FR,20160824,0.00,80,96,64
GHCND:FRM00007149,ORLY FR,20160825,0.00,81,98,-9999
GHCND:FRM00007149,ORLY FR,20160826,0.00,81,93,67
GHCND:FRM00007149,ORLY FR,20160827,0.00,80,94,66
GHCND:FRM00007149,ORLY FR,20160828,0.00,73,89,-9999
GHCND:FRM00007149,ORLY FR,20160829,0.00,67,76,62
GHCND:FRM00007149,ORLY FR,20160830,0.00,69,79,58
GHCND:FRM00007149,ORLY FR,20160831,0.00,70,83,56
GHCND:FRM00007149,ORLY FR,20160901,0.00,68,81,55
GHCND:FRM00007149,ORLY FR,20160902,0.00,71,84,57
GHCND:FRM00007149,ORLY FR,20160903,0.00,71,83,58
GHCND:FRM00007149,ORLY FR,20160904,0.01,67,78,64
GHCND:FRM00007149,ORLY FR,20160905,0.08,64,-9999,59
GHCND:FRM00007149,ORLY FR,20160906,0.11,68,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160907,0.02,70,83,-9999
GHCND:FRM00007149,ORLY FR,20160908,0.00,66,78,-9999
GHCND:FRM00007149,ORLY FR,20160909,0.00,66,79,51
GHCND:FRM00007149,ORLY FR,20160910,0.00,67,81,-9999
GHCND:FRM00007149,ORLY FR,20160911,0.00,69,79,-9999
GHCND:FRM00007149,ORLY FR,20160912,0.00,74,89,58
GHCND:FRM00007149,ORLY FR,20160913,0.00,78,90,69
GHCND:FRM00007149,ORLY FR,20160914,0.00,72,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160915,0.60,63,78,-9999
GHCND:FRM00007149,ORLY FR,20160916,0.04,62,71,56
GHCND:FRM00007149,ORLY FR,20160917,0.15,58,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160918,0.01,60,71,50
GHCND:FRM00007149,ORLY FR,20160919,0.07,62,68,58
GHCND:FRM00007149,ORLY FR,20160920,0.02,61,69,-9999
GHCND:FRM00007149,ORLY FR,20160921,0.01,59,72,-9999
GHCND:FRM00007149,ORLY FR,20160922,0.01,62,75,48
GHCND:FRM00007149,ORLY FR,20160923,0.00,64,76,-9999
GHCND:FRM00007149,ORLY FR,20160924,0.01,63,76,49
GHCND:FRM00007149,ORLY FR,20160925,0.00,60,69,-9999
GHCND:FRM00007149,ORLY FR,20160926,0.20,57,-9999,-9999
GHCND:FRM00007149,ORLY FR,20160927,0.01,62,74,49
GHCND:FRM00007149,ORLY FR,20160928,0.00,65,74,-9999
GHCND:FRM00007149,ORLY FR,20160929,0.01,62,72,55
GHCND:FRM00007149,ORLY FR,20160930,0.01,59,66,-9999
GHCND:FRM00007149,ORLY FR,20161001,0.13,57,65,52
GHCND:FRM00007149,ORLY FR,20161002,0.02,54,-9999,-9999
GHCND:FRM00007149,ORLY FR,20161003,0.00,53,-9999,40
GHCND:FRM00007149,ORLY FR,20161004,0.01,56,67,48
GHCND:FRM00007149,ORLY FR,20161005,0.00,54,64,-9999
GHCND:FRM00007149,ORLY FR,20161006,0.00,51,60,41
GHCND:FRM00007149,ORLY FR,20161007,0.00,53,58,48
GHCND:FRM00007149,ORLY FR,20161008,0.00,54,63,-9999
GHCND:FRM00007149,ORLY FR,20161009,0.00,49,61,39
GHCND:FRM00007149,ORLY FR,20161010,0.00,46,59,35
GHCND:FRM00007149,ORLY FR,20161011,0.05,47,-9999,40
GHCND:FRM00007149,ORLY FR,20161012,0.00,48,58,-9999
GHCND:FRM00007149,ORLY FR,20161013,0.00,47,-9999,41
GHCND:FRM00007149,ORLY FR,20161014,0.02,51,-9999,-9999
GHCND:FRM00007149,ORLY FR,20161015,0.33,54,64,45
GHCND:FRM00007149,ORLY FR,20161016,0.00,57,71,46
GHCND:FRM00007149,ORLY FR,20161017,0.04,56,65,-9999
GHCND:FRM00007149,ORLY FR,20161018,0.03,52,-9999,44
GHCND:FRM00007149,ORLY FR,20161019,0.02,49,-9999,44
GHCND:FRM00007149,ORLY FR,20161020,0.01,52,58,46
GHCND:FRM00007149,ORLY FR,20161021,0.02,51,56,-9999
GHCND:FRM00007149,ORLY FR,20161022,0.09,47,-9999,40
GHCND:FRM00007149,ORLY FR,20161023,0.01,47,56,39
GHCND:FRM00007149,ORLY FR,20161024,0.32,54,57,-9999
GHCND:FRM00007149,ORLY FR,20161025,0.07,54,58,-9999
GHCND:FRM00007149,ORLY FR,20161026,0.00,52,59,-9999
GHCND:FRM00007149,ORLY FR,20161027,0.00,50,60,44
GHCND:FRM00007149,ORLY FR,20161028,0.01,49,57,-9999
GHCND:FRM00007149,ORLY FR,20161029,0.00,53,-9999,-9999
GHCND:FRM00007149,ORLY FR,20161030,0.01,52,-9999,-9999
GHCND:FRM00007149,ORLY FR,20161031,0.00,53,65,-9999
GHCND:FRM00007149,ORLY FR,20161101,0.00,49,60,42
GHCND:FRM00007149,ORLY FR,20161102,0.01,49,55,-9999
GHCND:FRM00007149,ORLY FR,20161103,0.00,41,-9999,-9999
GHCND:FRM00007149,ORLY FR,20161104,0.00,42,-9999,35
GHCND:FRM00007149,ORLY FR,20161105,0.43,47,-9999,-9999
GHCND:FRM00007149,ORLY FR,20161106,0.01,41,-9999,36
GHCND:FRM00007149,ORLY FR,20161107,0.00,37,40,33
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160101,0.00,44,48,40
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160102,0.06,48,52,44
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160103,0.06,45,48,43
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160104,0.33,45,51,43
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160105,0.00,45,49,42
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160106,0.02,46,51,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160107,0.02,47,54,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160108,0.22,42,47,38
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160109,0.00,47,53,40
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160110,0.14,43,51,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160111,0.25,45,48,39
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160112,0.03,44,47,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160113,0.00,42,45,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160114,0.00,41,47,38
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160115,0.11,38,42,36
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160116,0.00,38,43,34
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160117,0.00,38,41,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160118,0.00,31,38,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160119,0.00,32,35,28
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160120,0.00,28,34,24
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160121,0.00,31,39,24
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160122,0.00,37,-9999,30
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160123,0.01,44,46,42
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160124,0.02,47,52,43
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160125,0.00,49,57,41
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160126,0.00,50,53,46
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160127,0.01,52,54,50
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160128,0.11,48,53,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160129,0.00,45,49,39
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160130,0.01,47,49,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160131,0.37,51,57,44
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160201,0.06,54,57,53
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160202,0.00,50,55,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160203,0.08,44,47,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160204,0.02,47,53,40
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160205,0.01,50,52,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160206,0.00,51,58,44
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160207,0.15,48,56,45
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160208,0.02,49,53,44
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160209,0.24,45,55,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160210,0.34,42,48,37
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160211,0.02,42,49,38
